Time (s),VP+ Power (W)
0,0.006663494
0.1,0.019534444
0.2,0.014821721
0.3,-0.015455145
0.4,0.004835229
0.5,-0.00808669
0.6,0.004842315
0.7,0.002199809
0.8,0.004830506
0.9,0.002984806
1,0.013237966
1.1,-0.013597269
1.2,0.017738617
1.3,0.028786612
1.4,-0.002542734
1.5,-0.009979563
1.6,-0.004383382
1.7,0.010389228
1.8,-0.006256602
1.9,0.011699573
2,0.010368968
2.1,0.024321485
2.2,0.017747286
2.3,0.023246908
2.4,-0.004372665
2.5,-0.002533151
2.6,0.006653706
2.7,0.015910475
2.8,0.015879402
2.9,0.003775907
3,0.008549372
3.1,0.013271296
3.2,-0.008068936
3.3,0.012195649
3.4,0.011699573
3.5,0.025027418
3.6,0.017721279
3.7,0.02276988
3.8,0.006673283
3.9,-0.006217026
4,0.024321485
4.1,0.004095796
4.2,0.009909033
4.3,-0.038010933
4.4,-0.016373435
4.5,-0.010856939
4.6,0.001145511
4.7,-0.004387668
4.8,-0.002538475
4.9,0.010384163
5,-0.009926253
5.1,-0.004109767
5.2,-0.004394098
5.3,0.000617925
5.4,0.021425974
5.5,0.030749201
5.6,0.005370484
5.7,-0.006232248
5.8,0.014064994
5.9,0.025869117
6,0.010348708
6.1,0.021415503
6.2,0.017985661
6.3,0.03062939
6.4,0.008509815
6.5,0.021415503
6.6,-0.004389811
6.7,0.004830506
6.8,0.02276988
6.9,0.015871634
7,0.001144391
7.1,-0.005711595
7.2,0.014058127
7.3,0.005368239
7.4,0.010379098
7.5,0.033369064
7.6,0.015910475
7.7,0.005352523
7.8,0.00297312
7.9,-0.020988884
8,0.004837591
8.1,0.011680001
8.2,0.025027418
8.3,-0.002541669
8.4,0.012213547
8.5,0.001141592
8.6,0.002997954
8.7,-0.007297479
8.8,0.014037526
8.9,0.017755955
9,-0.005711595
9.1,-0.002539362
9.2,0.010353773
9.3,0.018030907
9.4,0.001144391
9.5,-0.019125601
9.6,-0.013577323
9.7,-0.004381238
9.8,-0.000963095
9.9,-0.019134953
10,-0.000960678
10.1,0.006666757
10.2,0.028842914
10.3,0.001142711
10.4,0.003779073
10.5,0.016448073
10.6,0.042175236
10.7,0.004825782
10.8,0.006676546
10.9,-0.009926253
11,0.008505353
11.1,-0.002538475
11.2,0.015933779
11.3,-0.000699874
11.4,-0.000697485
11.5,-0.002536345
11.6,-0.024690097
11.7,-0.011412658
11.8,-0.008862411
11.9,0.017712609
12,0.008516061
12.1,0.010368968
12.2,0.010333513
12.3,0.005348033
12.4,-0.004128761
12.5,0.015949315
12.6,0.012213547
12.7,-0.012022782
12.8,-0.015424947
12.9,-0.011748744
13,0.019563155
13.1,-0.002542734
13.2,0.015902706
13.3,0.005354768
13.4,0.010358838
13.5,0.01770394
13.6,0.008516061
13.7,0.00853688
13.8,0.006663494
13.9,-0.000698168
14,0.003779073
14.1,0.000618961
14.2,-0.004749149
14.3,0.00061922
14.4,0.008516061
14.5,0.032408658
14.6,0.03414716
14.7,-0.007291378
14.8,-0.005709206
14.9,0.024122104
15,-0.007309682
15.1,0.015918243
15.2,-0.002538475
15.3,0.02400947
15.4,0.020993231
15.5,0.00853688
15.6,0.001143831
15.7,0.008511897
15.8,-0.000698509
15.9,0.00695398
16,0.021161114
16.1,0.008516061
16.2,0.008507733
16.3,0.00695398
16.4,0.021436445
16.5,0.019591866
16.6,0.001889792
16.7,-0.006241381
16.8,0.008520224
16.9,0.00061948
17,-0.004387668
17.1,0.021425974
17.2,0.00851963
17.3,0.026851615
17.4,0.019601436
17.5,0.013282406
17.6,0.023394747
17.7,0.004830506
17.8,0.025966776
17.9,0.01169468
18,-0.008061046
18.1,0.00220073
18.2,0.025162424
18.3,0.015894938
18.4,0.003790155
18.5,0.023292397
18.6,-0.01721522
18.7,0.009887254
18.8,-0.002543089
18.9,0.006709175
19,0.006683072
19.1,-0.008873549
19.2,0.023281025
19.3,0.028856989
19.4,0.01953171
19.5,-0.009950485
19.6,0.019529659
19.7,0.029013342
19.8,-0.016749293
19.9,0.004086189
20,-0.004391955
20.1,0.014846589
20.2,-0.002541669
20.3,0.002993572
20.4,-0.008869836
20.5,-0.002543585
20.6,-0.018019935
20.7,-0.002541846
20.8,0.005357013
20.9,0.001145511
21,0.006702649
21.1,0.011709359
21.2,0.004828144
21.3,0.010112508
21.4,0.017712609
21.5,-0.008100499
21.6,-0.026865266
21.7,-0.004118401
21.8,-0.002542095
21.9,-0.004125308
22,0.010338578
22.1,0.005370484
22.2,0.010338578
22.3,0.004835229
22.4,-0.000961483
22.5,0.006702649
22.6,-0.002548058
22.7,0.014078728
22.8,0.006939444
22.9,0.001144391
23,0.012207581
23.1,-0.004379095
23.2,0.024352052
23.3,0.014058127
23.4,0.002989189
23.5,-0.004118401
23.6,-0.013557378
23.7,-0.008100499
23.8,-0.000696803
23.9,0.027516394
24,0.008511897
24.1,-0.004387668
24.2,0.013276851
24.3,0.006666757
24.4,0.015918243
24.5,0.002192439
24.6,0.008516061
24.7,0.014078728
24.8,0.003775907
24.9,0.008524388
25,-0.002544863
25.1,0.035113756
25.2,0.036993938
25.3,0.017970579
25.4,-0.015817877
25.5,0.003771157
25.6,-0.024581606
25.7,0.014058127
25.8,0.004828144
25.9,0.015879402
26,0.008526768
26.1,0.000618184
26.2,0.012237412
26.3,0.000618184
26.4,-0.002534641
26.5,-0.009921407
26.6,0.022369656
26.7,0.022798461
26.8,-0.002545076
26.9,0.0084942
27,0.01225531
27.1,0.015918243
27.2,0.010338578
27.3,-0.015221317
27.4,-0.004383382
27.5,-0.006247469
27.6,0.021809621
27.7,0.015964851
27.8,0.021405031
27.9,0.003780656
28,0.026957009
28.1,0.010343643
28.2,0.008530337
28.3,0.008532716
28.4,-0.007291378
28.5,0.012195649
28.6,0.030584461
28.7,0.008507733
28.8,0.017660595
28.9,0.024331674
29,-0.009911714
29.1,0.004828144
29.2,0.004825782
29.3,0.005350278
29.4,0.00851963
29.5,0.012219513
29.6,-0.008116281
29.7,0.011680001
29.8,0.006660231
29.9,0.001142711
30,0.029025516
30.1,0.019677997
30.2,0.023315141
30.3,-0.008851273
30.4,-0.006201805
30.5,0.017729948
30.6,-0.002544331
30.7,0.001144391
30.8,0.005365994
30.9,0.008532716
31,0.001144951
31.1,-0.010455721
31.2,0.004847039
31.3,0.013271296
31.4,-0.002544331
31.5,-0.006226159
31.6,0.001141592
31.7,-0.012027819
31.8,0.017738617
31.9,-0.000699533
32,0.019589131
32.1,0.004821058
32.2,0.004835229
32.3,0.018038448
32.4,0.012213547
32.5,-0.002543798
32.6,0.0112885
32.7,0.021784058
32.8,0.046366255
32.9,0.014840372
33,0.006660231
33.1,0.010409488
33.2,0.010353773
33.3,0.003786989
33.4,0.006676546
33.5,0.030655064
33.6,-0.020968379
33.7,0.001143831
33.8,0.024392807
33.9,-0.008068936
34,0.004832868
34.1,-0.007276124
34.2,0.015933779
34.3,0.006676546
34.4,-0.004128761
34.5,0.004835229
34.6,0.001145511
34.7,0.030449673
34.8,0.006919094
34.9,-0.00253812
35,0.01486524
35.1,0.004086189
35.2,0.002194282
35.3,-0.011777481
35.4,0.01011674
35.5,0.015902706
35.6,0.03062939
35.7,0.019544015
35.8,0.034231053
35.9,0.010379098
36,0.017947956
36.1,0.004813972
36.2,0.00061922
36.3,0.006683072
36.4,0.008507733
36.5,-0.006232248
36.6,0.010104046
36.7,0.030854035
36.8,0.025858266
36.9,0.002993572
37,-0.008866124
37.1,0.014044393
37.2,0.021425974
37.3,0.010104046
37.4,0.02147833
37.5,0.027036055
37.6,0.008516061
37.7,0.012213547
37.8,0.001143271
37.9,-0.002540604
38,0.02147833
38.1,0.006705912
38.2,-0.005697262
38.3,0.008524388
38.4,0.00114607
38.5,-0.002539539
38.6,0.014071861
38.7,-0.008080772
38.8,0.00693363
38.9,-0.006223115
39,0.010353773
39.1,0.02745883
39.2,0.022750826
39.3,0.012213547
39.4,0.002992111
39.5,0.005354768
39.6,0.03622844
39.7,0.00114831
39.8,0.005365994
39.9,0.021446916
40,-0.00069885
40.1,0.002198888
40.2,-0.006226159
40.3,0.015871634
40.4,0.008507733
40.5,0.012634449
40.6,0.019582295
40.7,-0.013597269
40.8,0.01222548
40.9,0.022807988
41,0.017790632
41.1,0.017686602
41.2,0.003771157
41.3,-0.015447596
41.4,-0.004383382
41.5,0.005361504
41.6,0.019563155
41.7,-0.005293098
41.8,0.01405126
41.9,0.012231446
42,0.00220073
42.1,0.017747286
42.2,0.013232411
42.3,0.014064994
42.4,0.028786612
42.5,0.046444082
42.6,0.057198926
42.7,0.039544206
42.8,0.057457199
42.9,0.07489265
43,0.060818239
43.1,0.091709308
43.2,0.231616512
43.3,0.247197529
43.4,0.264532717
43.5,0.280546397
43.6,0.222604295
43.7,0.234142766
43.8,0.224816522
43.9,0.278721265
44,0.281659673
44.1,0.221565862
44.2,0.230323082
44.3,0.255448238
44.4,0.259877949
44.5,0.262819347
44.6,0.228643339
44.7,0.279814192
44.8,0.218720947
44.9,0.245421668
45,0.301665102
45.1,0.293139794
45.2,0.247024112
45.3,0.243378962
45.4,0.230210794
45.5,0.250812275
45.6,0.289182716
45.7,0.239999853
