Time (s),VP+ Power (W)
0,0.019572725
0.1,-0.009935946
0.2,-0.022800002
0.3,0.013249076
0.4,0.015856098
0.5,-0.005697262
0.6,-0.002546567
0.7,0.000618702
0.8,-0.005332005
0.9,0.011680001
1,-0.004391955
1.1,0.015910475
1.2,0.025847416
1.3,0.019584209
1.4,0.013249076
1.5,0.025150151
1.6,0.02336063
1.7,0.019605537
1.8,-0.002546194
1.9,0.001882062
2,0.013265741
2.1,-0.000698168
2.2,0.005352523
2.3,0.012189683
2.4,-0.007297479
2.5,0.00299065
2.6,0.023269652
2.7,0.000618702
2.8,-0.024653933
2.9,0.015926011
3,0.008528552
3.1,0.019553585
3.2,0.001607412
3.3,0.025150151
3.4,-0.006253558
3.5,0.00114775
3.6,0.016454952
3.7,0.015894938
3.8,-0.002534641
3.9,0.010777747
4,-0.002544863
4.1,0.006689598
4.2,-0.000700556
4.3,0.018008284
4.4,0.002989189
4.5,0.003779073
4.6,0.012207581
4.7,-0.009926253
4.8,-0.006226159
4.9,0.02139456
5,-0.000700556
5.1,0.010104046
5.2,0.004839953
5.3,0.006679809
5.4,-0.008096554
5.5,0.025073443
5.6,0.026970184
5.7,-0.002543089
5.8,0.014037526
5.9,0.036157722
6,-0.011771734
6.1,0.00061948
6.2,0.004832868
6.3,0.008516061
6.4,0.011709359
6.5,0.012201615
6.6,0.015918243
6.7,0.011670214
6.8,0.017721279
6.9,0.004844677
7,-0.009950485
7.1,0.002995617
7.2,0.016888691
7.3,-0.011777481
7.4,0.00299065
7.5,0.019601436
7.6,0.000620257
7.7,0.010348708
7.8,0.010137895
7.9,0.036422914
8,0.021205439
8.1,-0.002549548
8.2,-0.012037892
8.3,-0.002546815
8.4,0.022741299
8.5,-0.009940792
8.6,0.014840372
8.7,0.017747286
8.8,0.008511897
8.9,0.041686054
9,0.004842315
9.1,0.01405126
9.2,0.019582295
9.3,0.010099815
9.4,0.00114607
9.5,0.006968515
9.6,0.014064994
9.7,0.028786612
9.8,0.022741299
9.9,0.005756113
10,0.006683072
10.1,0.006936537
10.2,-0.008064991
10.3,0.012201615
10.4,0.033430294
10.5,0.010739982
10.6,-0.004398384
10.7,-0.012042929
10.8,0.00667002
10.9,0.026864789
11,0.024341863
11.1,0.004839953
11.2,0.010125202
11.3,0.006930723
11.4,0.00850107
11.5,0.006930723
11.6,0.008545208
11.7,0.008537475
11.8,0.00114719
11.9,0.001143831
12,0.019580928
12.1,0.008511897
12.2,0.021457387
12.3,0.025966776
12.4,0.004828144
12.5,0.021405031
12.6,-0.021494886
12.7,0.032440412
12.8,0.011684894
12.9,0.000224054
13,-0.004114947
13.1,-0.015462695
13.2,0.010374033
13.3,-0.008080772
13.4,0.024331674
13.5,0.010389228
13.6,0.014078728
13.7,0.021178844
13.8,-0.010468845
13.9,-0.002544331
14,0.022798461
14.1,0.011684894
14.2,0.01222548
14.3,0.012237412
14.4,-0.002544331
14.5,0.013276851
14.6,0.006689598
14.7,-0.00622007
14.8,0.013282406
14.9,0.004835229
15,0.016420557
15.1,-0.009196136
15.2,0.001144951
15.3,0.007136594
15.4,0.008507733
15.5,0.010368968
15.6,0.001149989
15.7,0.015902706
15.8,-0.002544863
15.9,-0.004751937
16,0.014039243
16.1,-0.008080772
16.2,-0.019228468
16.3,-0.005699651
16.4,0.021214304
16.5,0.010727393
16.6,0.005352523
16.7,0.006660231
16.8,0.002987728
16.9,-0.000329464
17,0.00114663
17.1,0.024433563
17.2,0.028856989
17.3,-0.009926253
17.4,-0.002545573
17.5,0.021178844
17.6,0.006692861
17.7,-0.00570204
17.8,0.010358838
17.9,0.019601436
18,0.015926011
