Time (s),VP+ Power (W)
0,0.009391938
1,-0.007286802
2,0.00335694
3,0.004094195
4,0.00527591
5,0.011284363
6,-0.001849902
7,0.008520469
8,0.010374033
9,0.006063962
10,0.005274093
11,0.006673283
12,0.003281224
13,0.007905665
14,0.006213185
15,-0.000963229
16,0.008509486
17,0.004650317
18,0.006191208
19,0.006194075
20,0.006195986
21,0.006205541
22,0.006852531
23,-0.004201568
24,0.005026034
25,-0.000882104
26,0.011831324
27,0.014357492
28,0.017369032
29,0.01274057
30,0.010183515
31,0.01220332
32,0.0057578
33,0.004648273
34,0.008523556
35,0.009531369
36,0.013025331
37,0.005154931
38,0.01236028
39,0.006007985
40,0.012368164
41,-2.77E-05
42,0.000344532
43,-0.003504733
44,0.00853205
45,0.002774387
46,0.004539387
47,0.021886893
48,0.003839973
49,0.00978962
50,1.09E-05
51,0.003655413
52,-0.002117257
53,0.01260427
54,0.00114607
55,0.013642361
56,0.007346781
57,0.007338331
58,0.01169835
59,0.005756113
60,0.015916516
61,0.01089447
62,0.007728727
63,0.008518645
64,0.002593934
65,0.01110463
66,0.00926222
67,0.007732775
68,0.009670603
69,0.004094195
70,0.001407614
71,0.005852534
72,0.008894173
73,0.004320842
74,0.004094195
75,0.003882332
76,0.005312087
77,0.007478813
78,0.004719223
79,0.005664871
80,0.016822428
81,0.011293671
82,0.009218075
83,0.00367877
84,0.009202882
85,0.001145256
86,0.000915442
87,0.016365823
88,0.014400468
89,0.004599682
90,0.013353351
91,0.011547917
92,0.004953142
93,0.00781928
94,0.001607117
95,0.006453568
96,-0.00012216
97,0.003334777
98,0.010939718
99,0.010261508
100,0.005759804
101,-0.004617113
102,0.008169432
103,0.007493212
104,0.005171526
105,0.01177919
106,0.001687672
107,-0.003883221
108,0.003156095
109,0.003642201
110,0.00722586
111,0.004496254
112,0.019254172
113,0.001882693
114,0.004293323
115,0.003965368
116,0.001883008
117,0.008833446
118,0.013069932
119,0.006302614
120,0.011668257
121,0.010156042
122,0.010139415
123,0.007871777
124,-0.002218084
125,-0.002239299
126,0.000935757
127,0.011128181
128,0.006629511
129,0.008827504
130,0.005991835
131,0.009150937
132,0.008846031
133,0.007257305
134,0.000386493
135,0.002832859
136,0.005044067
137,0.009501477
138,0.006573381
139,0.00514559
140,0.002378305
141,0.007902445
142,0.015392783
143,0.012020617
144,0.005827988
145,0.006435465
146,0.006189775
147,0.006539392
148,0.003983286
149,0.015698286
150,0.007177431
151,0.004202166
152,0.006364122
153,0.004475738
154,0.006148493
155,0.010098405
156,-0.011246806
157,0.01089523
158,0.006203144
159,0.005013874
160,0.010361009
161,-0.001254517
162,-0.002541282
163,0.009034021
164,0.009591802
165,0.007748364
166,0.010832463
167,0.011033351
168,0.007234348
169,0.008271385
170,0.006207376
171,0.007264462
172,0.003112202
173,0.00475244
174,0.006756595
175,-0.001806785
176,0.000900771
177,0.008020431
178,0.006552994
179,-0.004264418
180,0.010164067
181,0.00663656
182,0.007836975
183,0.005988823
184,0.006530456
185,0.005133211
186,0.011914292
187,0.002198888
188,0.00564199
189,0.009407213
190,0.005812479
191,0.002875766
192,0.008523556
193,0.005043238
194,0.009183231
195,0.00894914
196,0.00700331
197,-0.000772036
198,-0.002117019
199,0.004543379
200,0.003554396
201,0.001661903
202,0.010014053
203,0.007419525
204,0.008513285
205,0.008101303
206,0.004907465
207,0.006135169
208,0.004902218
209,0.008503569
210,0.008516061
211,0.01588717
212,-0.005339786
213,0.012984277
214,0.006304728
215,0.006312126
216,-0.008063018
217,0.001880957
218,-0.006959184
219,0.023281025
220,0.001882062
221,0.010348708
222,0.008499405
223,0.015902706
224,0.006924908
225,0.010368968
226,0.014846589
227,0.000618702
228,0.012171785
229,0.004385836
230,0.026541411
231,0.005730801
232,-0.007276124
233,0.004369811
234,0.004846252
235,0.008513285
236,0.000777534
237,0.014668209
238,0.014658652
239,-0.0015375
240,0.017366486
