Time (s),VP+ Power (W),
0,0.023246908,2527
0.1,0.022353274,
0.2,-0.002546993,
0.3,0.010384163,
0.4,-0.002535635,
0.5,0.015856098,
0.6,0.016427436,
0.7,0.038559301,
0.8,0.015964851,
0.9,0.030599437,
1,-0.007273073,
1.1,-0.013610566,
1.2,0.014914976,
1.3,0.002199809,
1.4,0.021509743,
1.5,0.005350278,
1.6,0.004103002,
1.7,-0.004121854,
1.8,0.010348708,
1.9,0.011689787,
2,0.017764624,
2.1,0.004849401,
2.2,0.018015825,
2.3,0.012177751,
2.4,0.011714252,
2.5,-0.004376952,
2.6,-0.006232248,
2.7,0.006656968,
2.8,-0.011742997,
2.9,0.012653023,
3,0.006301028,
3.1,0.015902706,
3.2,0.014131948,
3.3,0.012231446,
3.4,-0.011765986,
3.5,0.019621943,
3.6,0.030593447,
3.7,0.006948166,
3.8,-0.017274373,
3.9,0.011675108,
4,0.010414553,
4.1,0.004842315,
4.2,-0.015817877,
4.3,-0.008851273,
4.4,-0.015183153,
4.5,0.012231446,
4.6,0.017721279,
4.7,0.026957009,
4.8,-0.004125308,
4.9,0.023315141,
5,0.036885545,
5.1,0.008482749,
5.2,0.006951073,
5.3,0.00299065,
5.4,-0.011771734,
5.5,0.004837591,
5.6,0.006676546,
5.7,0.008516061,
5.8,0.004830506,
5.9,0.004105404,
6,0.019565548,
6.1,0.014044393,
6.2,0.014840372,
6.3,0.00482342,
6.4,-0.009921407,
6.5,-0.011760239,
6.6,0.010363903,
6.7,0.035456897,
6.8,0.016448073,
6.9,-0.002543089,
7,0.006686335,
7.1,0.035031489,
7.2,0.014037526,
7.3,0.008516061,
7.4,0.006927816,
7.5,0.006692861,
7.6,0.002987728,
7.7,-0.007273073,
7.8,-0.002539362,
7.9,0.025113331,
8,0.021205439,
8.1,-0.010848993,
8.2,0.017747286,
8.3,0.008526768,
8.4,0.005352523,
8.5,0.012231446,
8.6,0.001143271,
8.7,-0.013642858,
8.8,-0.013597269,
8.9,-0.018093946,
9,0.018230667,
9.1,0.034348502,
9.2,0.011645749,
9.3,-0.026522622,
9.4,0.002201651,
9.5,-0.006959184,
9.6,0.008524388,
9.7,0.008511897,
9.8,0.008537475,
9.9,0.006689598,
10,0.016434315,
10.1,-0.024653933,
10.2,0.023246908,
10.3,0.021134519,
10.4,0.002983346,
10.5,0.021205439,
10.6,0.02139456,
10.7,0.005361504,
10.8,-0.017282824,
10.9,0.014071861,
11,0.008516061,
11.1,0.027946973,
11.2,0.00851963,
11.3,0.001143271,
11.4,-0.008104445,
11.5,0.010384163,
11.6,0.003775907,
11.7,0.02325828,
11.8,-0.013597269,
11.9,0.007133977,
12,-0.019125601,
12.1,-0.013585871,
12.2,-0.002570418,
12.3,0.018030907,
12.4,-0.013605247,
12.5,-0.000959872,
12.6,0.002997954,
12.7,-0.002539539,
12.8,0.014030659,
12.9,0.023349258,
13,0.010095584,
13.1,0.00114607,
13.2,0.019716278,
13.3,-0.002544863,
13.4,-0.006223115,
13.5,0.006924908,
13.6,0.017712609,
13.7,-0.002548058,
13.8,0.005365994,
13.9,0.010384163,
14,0.006692861,
14.1,-0.00570204,
14.2,0.025137877,
14.3,0.002987728,
14.4,-0.002541669,
14.5,0.012946318,
14.6,0.002198888,
14.7,0.012915951,
14.8,0.012690171,
14.9,0.012213547,
15,0.022731772,
15.1,-0.000328885,
15.2,-0.013607241,
15.3,-0.002540604,
15.4,0.015910475,
15.5,0.013299072,
15.6,0.010746276,
15.7,-0.018328155,
15.8,0.002999415,
15.9,0.002205336,
16,0.029025516,
16.1,0.028451405,
16.2,0.028069596,
16.3,0.008516061,
16.4,-0.000959067,
16.5,-0.004372665,
16.6,0.00299065,
16.7,0.016461831,
16.8,-0.000698168,
16.9,0.01007866,
17,0.026917486,
17.1,0.026957009,
17.2,0.00114607,
17.3,-0.000699874,
17.4,0.023315141,
17.5,0.040274619,
17.6,0.026970184,
17.7,0.012219513,
17.8,0.003775907,
17.9,0.02147833,
18,-0.004385525,
18.1,-0.000961886,
18.2,0.001143831,
18.3,0.017764624,
18.4,0.01486524,
18.5,0.014044393,
18.6,0.013287961,
18.7,0.00850107,
18.8,0.008507733,
18.9,0.001610356,
