Time (s),VP+ Power (W)
0,0.261915893
0.1,0.24651237
0.2,0.230617457
0.3,0.271364607
0.4,0.251693
0.5,0.276601592
0.6,0.263926981
0.7,0.247569598
0.8,0.233880571
0.9,0.27529549
1,0.227326435
1.1,0.254176698
1.2,0.254954386
1.3,0.284392547
1.4,0.270773314
1.5,0.266301635
1.6,0.186950103
1.7,0.134990596
1.8,0.141573275
1.9,0.135238258
2,0.153968042
2.1,0.129176132
2.2,0.020093564
2.3,-0.00330337
2.4,0.003031822
2.5,0.020963281
2.6,0.011849972
2.7,0.015618879
2.8,0.033451495
2.9,0.036431199
3,0.030004504
3.1,-0.003493923
3.2,0.015725518
3.3,0.008277124
3.4,0.008292319
3.5,0.01867527
3.6,0.003031822
3.7,0.029032895
3.8,0.01313238
3.9,0.012710018
4,0.012694482
4.1,0.01124263
4.2,0.027469342
4.3,0.01313238
4.4,0.005368111
4.5,0.015771455
4.6,0.011268382
4.7,0.028979857
4.8,0.026105328
4.9,0.033439848
5,0.006810917
5.1,0.0333292
5.2,0.023242437
5.3,0.033390347
5.4,0.016994571
5.5,0.017174666
5.6,0.005338745
5.7,0.018618408
5.8,0.019512299
5.9,0.018607036
6,0.029851455
6.1,0.027419007
6.2,0.025994187
6.3,0.009791339
6.4,0.00807312
6.5,0.017237494
6.6,0.020118111
6.7,0.009370467
6.8,0.000494549
6.9,0.025994187
7,0.008612527
7.1,0.022001706
7.2,0.008297384
7.3,0.020069018
7.4,0.014166934
7.5,0.021967167
7.6,0.042243003
7.7,0.021489674
7.8,-0.005833129
7.9,-0.003803957
8,0.017880831
8.1,-0.003508926
8.2,-0.00203803
8.3,0.00386449
8.4,0.002387314
8.5,0.036320276
8.6,0.02019175
8.7,0.015725518
8.8,0.042375631
8.9,0.002388775
9,-0.009421044
9.1,0.006804671
9.2,0.01867527
9.3,0.046589382
9.4,0.032071928
9.5,0.032055119
9.6,0.021595068
9.7,0.018641153
9.8,0.039246601
9.9,0.011887274
10,-0.003795593
10.1,0.020105837
10.2,0.013146138
10.3,-0.00499017
10.4,0.029561223
10.5,0.017164195
10.6,0.011222029
10.7,-0.012382508
10.8,0.030549717
10.9,0.012326368
11,0.031914291
11.1,0.033369965
11.2,0.020105837
11.3,0.015684503
11.4,0.030419654
11.5,0.017111839
11.6,0.012748858
11.7,-0.008660053
11.8,0.008302449
11.9,0.006817163
12,0.0230298
12.1,0.011325035
12.2,0.020758326
12.3,0.028962177
12.4,0.010627086
12.5,0.006833819
12.6,-0.006471073
12.7,-0.00583618
12.8,0.0230298
12.9,0.024493357
13,0.018652525
13.1,0.037656918
13.2,0.024493357
13.3,-0.010844814
13.4,-0.004562609
13.5,0.006812999
13.6,0.021967167
13.7,0.010615976
13.8,0.012748858
13.9,0.027553234
14,0.004297306
14.1,-0.006459237
14.2,0.014175603
14.3,0.016950246
14.4,-0.000559639
14.5,0.008297384
14.6,0.024506194
14.7,0.021634591
14.8,0.00974361
14.9,0.016941381
15,-0.006455292
15.1,-0.007895622
15.2,0.021621417
15.3,0.023193737
15.4,0.017164195
15.5,0.042176689
15.6,0.015687237
15.7,0.000913742
15.8,0.010604866
15.9,0.037887774
16,-0.000773782
16.1,-0.004984082
16.2,0.020994034
16.3,0.006813594
16.4,0.018641153
16.5,0.017164195
16.6,0.018177881
16.7,0.018641153
16.8,0.03791086
16.9,0.029669616
17,0.005558558
17.1,-0.002033771
17.2,0.023057951
17.3,0.031855846
17.4,0.005338745
17.5,-0.004569775
17.6,0.026991226
17.7,0.030326751
17.8,0.008297384
17.9,0.015677667
18,0.02080173
18.1,0.024519031
18.2,0.022093809
18.3,0.027553234
18.4,0.035898803
18.5,0.046674857
18.6,0.005342008
18.7,0.012710018
18.8,0.015717315
18.9,0.018196935
19,0.003873938
19.1,-0.002033771
19.2,0.023254612
19.3,0.027502899
19.4,0.018538803
19.5,0.022987574
19.6,-0.0020359
19.7,0.017463847
19.8,0.015718341
19.9,0.018618408
20,0.009797305
20.1,0.002409227
20.2,0.011849972
20.3,-0.004965816
20.4,0.03349226
20.5,0.024596052
20.6,0.035243178
20.7,0.029700586
20.8,0.030419654
20.9,0.008292319
21,0.032055119
21.1,0.009791339
21.2,0.009350895
21.3,0.027402229
21.4,0.024493357
21.5,0.018607036
21.6,0.040720855
21.7,0.032122354
21.8,0.037795432
21.9,0.022959423
22,0.015700909
22.1,0.015668097
22.2,0.005716029
22.3,0.028891459
22.4,0.046788825
22.5,0.017227022
22.6,0.020069018
22.7,0.015692706
22.8,0.012710018
22.9,0.013125501
23,0.012733322
23.1,0.006767196
23.2,0.033282611
23.3,0.015696808
23.4,0.003881023
23.5,0.037221592
23.6,0.031933772
23.7,0.022047757
23.8,0.020118111
23.9,0.015629816
24,0.003862128
24.1,-0.002033771
24.2,-0.007069171
24.3,0.005342008
24.4,0.01712231
24.5,0.019553055
24.6,0.009773441
24.7,0.028944498
24.8,0.008077351
24.9,-0.000560321
25,0.009341108
25.1,0.015668097
25.2,0.003022323
25.3,0.020142657
25.4,-0.003506783
25.5,0.02837158
25.6,0.023072026
25.7,0.017185138
25.8,0.01950211
25.9,0.035992777
26,0.005342008
26.1,-0.010844814
26.2,-0.002034835
26.3,0.023043875
26.4,-0.002041224
26.5,0.011249497
26.6,0.03638683
26.7,0.013221807
26.8,0.019379843
26.9,0.015668097
27,0.014227618
27.1,-0.007934393
27.2,0.008085814
27.3,0.030493976
27.4,0.027019548
27.5,0.023142403
27.6,0.014218949
27.7,0.005541116
27.8,0.025994187
27.9,0.026041819
28,0.015643488
28.1,0.003866852
28.2,0.023100177
28.3,0.029669616
28.4,0.023128327
28.5,0.015700909
28.6,0.025978309
28.7,0.012725554
28.8,0.026041819
28.9,0.027118674
29,0.024653818
29.1,0.028162238
29.2,0.018235043
29.3,0.003022323
29.4,0.027435785
29.5,0.021542371
29.6,0.024534007
29.7,0.013173654
29.8,0.015658527
29.9,0.011887274
30,0.006837983
30.1,0.02456396
30.2,0.019512299
30.3,0.025994187
30.4,0.006837983
30.5,0.022013219
30.6,0.033431113
30.7,0.031914291
30.8,0.019481732
30.9,0.034994106
31,0.002391696
31.1,0.00901335
31.2,0.002388775
31.3,0.025994187
31.4,0.020747475
31.5,0.0156763
31.6,0.020069018
31.7,0.017195609
31.8,0.027553234
31.9,0.01575833
32,-0.002031286
32.1,0.016950246
32.2,0.033369965
32.3,0.012733322
32.4,0.015692706
32.5,0.011256364
32.6,-0.000558956
32.7,0.014184272
32.8,0.01313238
32.9,0.015677667
33,0.010610421
33.1,0.018618408
33.2,0.015725518
33.3,0.018187408
